"Sample","x","Location","Region","x1","Date","Li","Be","B","Al...10","Sc","Ti","V","Cr","Mn...15","Co","Ni","Ga","Ge","As","Se","Rb","Y","Zr","Nb","Mo","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Pb","Bi","Th","U","Na","Mg","Al...58","P","S","K","Ca","Mn...63","Fe","Zn","Cu","Sr"
"M37","09TSW020-003","Fonterra Darnum 3","E-VIC","FCMP",2008-12-21,0.02,0.0095,0.463,"0.45500000000000002",0.036,3.68,0.274,0.091,0.288,0.015,0.181,0.012,0.0345,0.071,0.3365,16.1,0.001,0.005,0.003,0.203,0.002,0.003,0.0805,0.002,0.006,0.054,0.882,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.015,0.0015,0.0015,5e-04,2700,796,5.27,7596,2039,10222,8685,0.291,1.94,33.4,0.275,4.49
"M38","09TSW020-003","Fonterra Darnum 3","E-VIC","FCMP",2008-12-21,0.02,0.0095,0.463,"<LOQ",0.036,3.15,0.274,0.091,0.256,0.013,0.164,0.011,0.0345,0.071,0.3365,15.3,0.001,0.005,0.003,0.192,0.002,0.003,0.0805,0.002,0.006,0.051,0.82,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.008,0.009,0.026,0.0015,0.0015,5e-04,2664,788,4.37,7225,1964,10083,8537,0.327,1.73,30.6,0.284,4.47
"M53","09TSW020-011","Fonterra Darnum 11","E-VIC","FMCP",2009-02-21,0.02,0.0095,0.463,"0.56299999999999994",0.036,2.72,0.274,0.091,0.318,0.013,0.149,0.01,0.0345,0.071,0.3365,16,0.001,0.005,0.003,0.197,0.002,0.003,0.0805,0.002,0.006,0.071,0.723,5e-04,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,5e-04,0.001,0.008,0.009,0.005,0.0015,0.0015,5e-04,2992,805,5.18,6272,1911,9685,8485,0.369,2.52,27.2,0.452,4.6
"M54","09TSW020-011","Fonterra Darnum 11","E-VIC","FMCP",2009-02-21,0.02,0.0095,0.463,"0.97699999999999998",0.036,3.14,0.274,0.091,0.359,0.014,0.182,0.012,0.0345,0.071,0.3365,17.3,0,0.012,0.003,0.214,0.002,0.003,0.0805,0.002,0.006,0.08,0.828,5e-04,0.001,0,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.002,0.025,0.009,0.005,0.0015,0.0015,5e-04,2961,795,4.84,6359,1901,9615,8527,0.371,2.65,27.5,0.323,4.62
"M55","09TSW020-012","Fonterra Darnum 12","E-VIC","FMCP",2009-02-26,0.02,0.0095,0.463,"2.3399999999999999",0.036,2.69,0.274,0.207,0.362,0.015,0.191,0.012,0.0345,0.071,0.3365,17,0.001,0.015,0.003,0.202,0.002,0.003,0.0805,0.002,0.006,0.07,0.83,0.001,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.621,0.0015,0.0015,5e-04,2955,796,5.83,6266,1895,9312,8499,0.449,2.52,28.4,0.379,4.78
"M56","09TSW020-012","Fonterra Darnum 12","E-VIC","FMCP",2009-02-26,0.02,0.0095,0.463,"0.24299999999999999",0.036,2.82,0.274,0.091,0.338,0.013,0.155,0.011,0.0345,0.071,0.3365,16.8,0.001,0.005,0.006,0.193,0.002,0.003,0.0805,0.002,0.006,0.067,0.792,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,5e-04,0.001,0.008,0.009,0.009,0.0015,0.0015,5e-04,2966,806,4.56,6328,1939,9367,8431,0.413,1.61,27.9,0.172,4.76
"M57","09TSW020-013","Fonterra Darnum 13","E-VIC","FMCP",2009-03-04,0.02,0.0095,0.463,"0.373",0.036,2.75,0.274,0.091,0.341,0.015,0.182,0.011,0.0345,0.071,0.3365,16.4,0.001,0.005,0.007,0.205,0.002,0.003,0.0805,0.002,0.006,0.068,0.769,0.001,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.023,0.0015,0.0015,5e-04,2979,796,4.41,6156,1871,9231,8447,0.407,2.28,27.5,0.205,4.61
"M58","09TSW020-013","Fonterra Darnum 13","E-VIC","FMCP",2009-03-04,0.02,0.0095,0.463,"1.1799999999999999",0.036,3.12,0.274,0.219,0.36,0.015,0.176,0.013,0.0345,0.071,0.3365,17.2,0.001,0.011,0.003,0.221,0.002,0.003,0.0805,0.002,0.006,0.072,0.824,5e-04,0.001,0,0.002,0,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.008,0.009,0.006,0.0015,0.0015,5e-04,3053,818,5.12,6547,1973,9476,8564,0.402,2.43,27.3,0.204,4.63
"M59","09TSW020-014","Fonterra Darnum 14","E-VIC","FMCP",2009-03-14,0.02,0.0095,0.463,"0.40799999999999997",0.036,3.36,0.274,0.215,0.419,0.017,0.221,0.015,0.0345,0.071,0.3365,17.8,0.002,0.005,0.008,0.215,0.002,0.003,0.0805,0.002,0.006,0.072,0.917,0.005,0.005,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.002,0.001,0.024,0.009,0.118,0.0015,0.0015,5e-04,3000,816,5.85,6615,1963,9198,8802,0.444,1.72,32.1,0.309,4.95
"M60","09TSW020-014","Fonterra Darnum 14","E-VIC","FMCP",2009-03-14,0.02,0.0095,0.463,"0.80400000000000005",0.036,3.12,0.274,0.091,0.396,0.016,0.209,0.015,0.0345,0.071,0.3365,17.7,0.001,0.005,0.003,0.21,0.002,0.003,0.0805,0.002,0.006,0.072,0.901,0.002,0.001,0.001,0.002,0.001,0.001,5e-04,5e-04,5e-04,5e-04,0.001,5e-04,0.001,0.001,0.001,0.001,0.021,0.009,0.018,0.0015,0.0015,5e-04,3001,821,5.65,6557,1969,9209,8686,0.443,2.28,31.9,0.431,4.91
