"element","MDA","MDG"
"Cs",19.1821490080932,5.94855168403485
"Rb",18.87509745378,5.62773748944193
"Mo",17.7456110735864,3.36752142583255
"B",17.2768283966861,4.53136116347258
"Sr",16.2727128125478,3.8161296168239
"Ba",15.9211213009542,2.64151702876233
"Mn...63",12.307343165588,1.90271614695008
"Mg",11.3491082402435,1.84983763002279
"Mn...15",10.4998657617747,1.63036902629923
"Lu",10.4378310074447,1.1976370151979
"Ca",9.58496477561176,1.44034626731106
"Ni",8.9086469378139,1.45759000751572
"K",8.89853979506493,1.14777012031115
"Co",8.82632256946767,1.19626117482563
"Ga",8.35367669649144,0.905172380531004
"Zr",8.10112831484292,1.36816552779058
"Y",8.01199975392155,1.08002922659761
"Nb",7.84730802209743,1.30679436255504
"Na",7.09081324509335,0.783649720347782
"Hf",6.70199501367931,0.785005452166335
"Bi",6.5870614795413,0.461198002280954
"P",5.94763044717274,0.701299627529352
"U",5.83510202616446,0.33919591986343
"Cu",5.1570126094949,1.02978228559981
"Zn",4.94773824589209,0.709247947438615
"Pr",4.33212266658183,0.284017576804655
"Tm",3.9096309959168,0.0888904016284398
"Ho",3.90133058994771,0.189011285415993
"S",3.80569265309317,0.581105316353914
"Ta",3.59378184802861,0.167386391275593
"La",3.31271123959459,0.227226303990307
"Dy",3.21226555373897,0.0817749599018355
"Nd",3.19524762376981,0.0829389003816157
"Eu",2.98107732733548,0.147303583929314
"Yb",2.91655811717981,0.0531969216662528
"Er",2.78294911811203,0.0702015548120815
"Ti",2.73210516570696,0.380534158095357
"Gd",2.70202995253495,0.0721302467404866
"Tb",2.51234270726695,0.0475892493515114
"W",2.26988195098307,0.135062879228172
"Cd",2.22494005562048,0.0278697984528093
"Fe",1.83473275382259,0.305868849642244
"Sm",1.34545658231157,0.142629480230633
"Ce",1.17007452412067,0.0596061596132633
"Al...58",0.490878484160548,0.272803263268384
"Li",0,0
"Be",0,0
"Sc",0,0
"V",0,0
"Ge",0,0
"As",0,0
"Se",0,0
"In",0,0
"Sn",0,0
"Sb",0,0
"Te",0,0
"Hg",0,0
"Pb",-0.645051912327489,0.32060494198339
"Cr",-1.06099649500962,0.125227707038575
"Th",-1.36246583368325,0.0779443020245171
